ID,Date,Element,Data_Value
USC00023027,2005-07-04,TMIN,228
USW00053162,2012-07-30,TMIN,243
USC00029634,2005-07-21,TMAX,433
USC00027370,2007-08-01,TMAX,361
USC00025270,2007-08-27,TMAX,417
USW00053162,2012-04-09,TMAX,330
USC00028499,2010-10-28,TMIN,106
USW00023183,2009-08-03,TMIN,317
USW00023183,2012-06-24,TMIN,306
USC00028499,2015-03-07,TMAX,289
USW00023183,2006-04-26,TMIN,167
USC00024829,2005-12-09,TMIN,72
USC00024829,2011-03-06,TMAX,261
USC00029634,2012-12-30,TMIN,44
USW00023183,2012-06-24,TMAX,406
USC00021306,2007-02-10,TMAX,283
USW00053162,2014-03-03,TMIN,83
USW00023183,2006-04-26,TMAX,333
USC00023027,2007-03-25,TMAX,272
USW00023183,2012-02-19,TMIN,83
USC00024829,2007-07-14,TMAX,428
USC00028499,2007-04-26,TMAX,328
USW00023183,2012-12-30,TMIN,72
USC00027187,2014-11-30,TMAX,261
USC00028499,2007-07-12,TMIN,289
USC00024829,2011-03-06,TMIN,83
USC00024829,2011-03-11,TMAX,300
USC00027187,2015-12-20,TMIN,56
USC00025270,2009-08-13,TMIN,222
USW00053156,2010-06-19,TMIN,183
USC00025270,2010-12-21,TMIN,100
USC00021314,2008-02-15,TMIN,72
USC00027370,2006-02-28,TMAX,283
USC00029634,2012-01-15,TMAX,189
USC00027370,2007-08-01,TMIN,244
USC00029634,2008-09-19,TMIN,239
USW00053156,2012-08-07,TMAX,427
USC00024977,2014-12-16,TMIN,72
USC00028499,2006-07-14,TMIN,289
USC00024977,2006-10-31,TMAX,256
USC00024829,2006-05-22,TMAX,339
USW00053156,2011-06-21,TMAX,411
USW00023183,2008-05-20,TMIN,267
USC00021314,2009-04-08,TMAX,328
USC00021314,2005-05-28,TMIN,194
USC00028499,2008-11-19,TMAX,311
USC00024977,2006-06-13,TMIN,233
USC00029634,2006-06-24,TMAX,428
USW00023183,2009-09-16,TMIN,239
USW00023183,2007-08-08,TMAX,411
USC00021314,2011-11-10,TMAX,233
USC00029634,2005-09-27,TMAX,400
USC00028499,2008-11-19,TMIN,67
USC00023027,2006-08-01,TMIN,244
USW00023183,2008-08-03,TMAX,400
USC00021306,2008-06-10,TMIN,211
USC00021306,2008-06-10,TMAX,433
USC00024829,2014-07-12,TMAX,439
USC00027187,2014-09-21,TMAX,367
USW00023183,2008-08-03,TMIN,317
USC00029634,2011-08-01,TMIN,267
USC00021314,2009-08-03,TMIN,256
USC00029634,2011-08-01,TMAX,406
USC00021306,2005-10-25,TMAX,322
USW00023183,2015-03-01,TMIN,161
USW00023183,2006-09-23,TMIN,206
USC00024977,2012-05-29,TMAX,367
USC00027187,2011-08-01,TMAX,400
USC00021314,2008-11-24,TMIN,39
USC00024977,2011-01-14,TMAX,222
USC00021514,2005-03-02,TMAX,228
USC00021314,2009-04-08,TMIN,106
USC00028499,2015-08-15,TMAX,444
USC00028499,2005-03-05,TMAX,211
USW00023183,2015-05-23,TMIN,178
USC00027370,2006-09-17,TMIN,156
USC00028499,2008-08-16,TMAX,389
USC00029634,2005-12-26,TMIN,61
USC00024977,2015-04-30,TMAX,367
USC00029634,2010-10-10,TMAX,328
USW00053162,2012-11-09,TMIN,134
USC00027370,2006-09-17,TMAX,372
USC00029634,2010-09-25,TMIN,244
USC00021314,2007-03-18,TMIN,128
USC00024977,2012-10-21,TMIN,172
USC00023027,2006-08-01,TMAX,367
USC00023027,2007-04-29,TMAX,339
USC00023027,2009-01-19,TMAX,261
USW00053156,2012-04-22,TMIN,174
USC00029634,2015-06-05,TMIN,211
USC00024977,2012-02-18,TMAX,200
USW00053156,2012-04-22,TMAX,390
USC00028499,2008-06-01,TMIN,150
USC00028499,2015-08-15,TMIN,261
USC00024829,2010-02-28,TMIN,89
USC00021314,2011-11-10,TMIN,72
USW00023183,2006-12-10,TMIN,78
USW00023183,2008-05-20,TMAX,422
USC00024977,2012-02-18,TMIN,50
USC00021314,2014-02-02,TMAX,183
USC00028499,2005-11-03,TMIN,167
USC00021314,2007-03-18,TMAX,372
USW00023183,2005-02-05,TMIN,89
USC00029634,2006-06-24,TMIN,283
USC00028499,2008-06-01,TMAX,389
USC00024977,2012-10-21,TMAX,306
USC00025270,2010-12-20,TMIN,67
USW00023183,2015-10-17,TMIN,222
USC00029634,2015-07-17,TMAX,417
USC00024829,2007-08-13,TMAX,461
USC00023027,2008-12-17,TMIN,106
USW00023183,2014-09-06,TMAX,406
USC00028499,2011-11-10,TMAX,217
USC00024829,2007-12-09,TMAX,128
USC00021314,2007-12-29,TMAX,128
USC00021306,2005-09-06,TMAX,417
USC00023027,2006-11-17,TMAX,283
USW00053162,2013-11-30,TMIN,53
USC00028499,2005-12-14,TMAX,211
USW00053162,2013-11-30,TMAX,171
USC00029634,2007-06-25,TMAX,417
USC00028499,2012-01-09,TMIN,17
USW00023183,2011-04-16,TMAX,350
USC00024829,2008-04-21,TMIN,128
USW00053162,2012-01-22,TMAX,162
USW00023183,2013-01-10,TMAX,161
USC00024829,2007-12-09,TMIN,61
USC00029634,2014-03-07,TMAX,261
USC00029634,2014-07-07,TMIN,267
USC00024829,2012-12-10,TMIN,39
USC00028499,2006-12-21,TMAX,144
USC00023027,2006-11-17,TMIN,83
USC00028499,2012-01-09,TMAX,211
USC00029634,2007-06-25,TMIN,244
USC00027187,2014-12-23,TMAX,172
USC00025270,2010-12-20,TMAX,244
USC00023027,2006-12-29,TMIN,33
USC00028499,2009-02-14,TMIN,0
USC00023027,2007-02-25,TMAX,194
USC00023027,2007-02-25,TMIN,17
USC00023027,2007-04-29,TMIN,206
USC00029634,2015-07-17,TMIN,283
USC00024829,2010-02-28,TMAX,183
USC00021314,2008-11-24,TMAX,272
USC00021314,2009-08-03,TMAX,439
USC00027187,2011-08-01,TMIN,261
USC00028499,2012-05-27,TMIN,94
USC00024829,2009-06-27,TMIN,289
USC00029634,2014-03-07,TMIN,106
USC00021306,2008-05-05,TMAX,350
USC00028499,2011-11-10,TMIN,100
USC00024829,2014-05-09,TMAX,261
USC00024977,2013-09-28,TMAX,322
USC00023027,2007-01-28,TMAX,211
USC00021314,2015-03-27,TMAX,317
USW00053162,2013-02-07,TMIN,51
USC00028499,2006-12-21,TMIN,-33
USC00021514,2005-03-02,TMIN,56
USC00028499,2011-10-07,TMAX,250
USC00029634,2010-03-26,TMIN,111
USC00028112,2006-12-06,TMIN,11
USC00023027,2007-01-28,TMIN,61
USC00028499,2011-10-07,TMIN,139
USW00053156,2013-09-22,TMIN,190
USC00028499,2005-12-14,TMIN,33
USC00028112,2006-12-06,TMAX,217
USC00028499,2009-11-08,TMIN,100
USC00027187,2014-12-23,TMIN,39
USC00028499,2015-07-19,TMIN,217
USW00023183,2010-04-22,TMAX,194
USW00023183,2011-12-18,TMAX,133
USC00028499,2007-04-26,TMIN,122
USC00028499,2013-09-06,TMIN,250
USW00053156,2013-05-03,TMIN,174
USW00053156,2013-07-03,TMAX,428
USC00027187,2013-05-15,TMIN,194
USC00021314,2008-12-01,TMIN,56
USC00023027,2005-12-20,TMAX,222
USC00024829,2011-01-10,TMAX,161
USW00053162,2012-01-22,TMIN,21
USC00028499,2013-05-16,TMIN,167
USC00024829,2012-03-26,TMIN,122
USC00025270,2013-06-29,TMAX,478
USC00027187,2013-05-15,TMAX,383
USC00029634,2012-01-15,TMIN,94
USW00053156,2013-05-03,TMAX,312
USC00024829,2013-08-15,TMIN,300
USC00021314,2007-12-29,TMIN,-28
USC00025270,2005-07-14,TMAX,450
USC00027370,2008-08-25,TMAX,389
USC00027370,2008-08-25,TMIN,228
USC00024977,2007-02-17,TMIN,78
USC00024829,2011-01-10,TMIN,28
USC00024977,2005-11-20,TMAX,244
USC00024977,2007-02-17,TMAX,272
USC00024977,2007-11-27,TMIN,72
USW00023183,2011-12-18,TMIN,94
USC00027187,2014-03-26,TMAX,267
USC00027187,2012-05-14,TMIN,161
USC00021314,2006-12-13,TMAX,189
USC00024977,2013-02-24,TMAX,178
USC00028499,2005-11-03,TMAX,272
USC00025270,2009-02-01,TMAX,233
USW00023183,2009-02-07,TMIN,100
USC00028499,2012-11-11,TMIN,6
USW00023183,2010-04-22,TMIN,117
USC00028499,2012-11-11,TMAX,183
USC00028499,2005-03-05,TMIN,111
USC00024829,2012-12-10,TMAX,178
USC00024829,2005-01-27,TMAX,189
USC00029634,2010-09-25,TMAX,406
USC00029634,2015-05-23,TMAX,278
USW00053156,2011-06-21,TMIN,202
USC00025270,2009-09-18,TMAX,378
USC00028499,2013-05-16,TMAX,372
USC00027187,2012-05-14,TMAX,389
USC00021314,2005-07-10,TMAX,422
USC00021314,2010-11-22,TMAX,267
USC00021314,2005-07-10,TMIN,211
USW00053156,2013-07-03,TMIN,281
USC00029634,2012-09-02,TMAX,406
USC00029634,2012-12-30,TMAX,156
USC00028499,2009-11-08,TMAX,300
USC00023027,2005-12-20,TMIN,28
USC00027187,2014-03-26,TMIN,128
USC00024977,2005-04-23,TMAX,317
USC00025270,2013-06-29,TMIN,256
USW00053156,2013-06-01,TMIN,223
USC00029634,2012-09-02,TMIN,289
USC00028499,2010-10-28,TMAX,328
USC00024977,2015-04-12,TMIN,150
USC00021306,2007-02-08,TMIN,44
USC00029634,2015-11-14,TMIN,78
USC00024977,2013-10-20,TMIN,111
USW00023183,2007-08-08,TMIN,278
USC00027187,2011-12-10,TMAX,206
USC00024829,2008-06-07,TMIN,217
USC00021306,2008-05-05,TMIN,139
USW00023183,2008-03-20,TMAX,289
USC00024829,2012-03-26,TMAX,250
USC00024829,2007-06-14,TMIN,156
USC00028499,2008-06-13,TMIN,178
USW00023183,2006-12-10,TMAX,206
USW00023183,2015-05-23,TMAX,283
USC00027187,2011-12-10,TMIN,-11
USC00029634,2010-03-26,TMAX,256
USC00028499,2005-12-29,TMAX,233
USC00028499,2005-12-29,TMIN,72
USC00028499,2008-08-09,TMIN,250
USC00024977,2013-10-20,TMAX,294
USC00028499,2005-08-25,TMAX,400
USC00029634,2005-12-26,TMAX,228
USW00053162,2012-11-09,TMAX,261
USC00024977,2008-09-26,TMIN,244
USC00024977,2009-08-18,TMIN,233
USC00028112,2005-05-30,TMAX,350
USC00028499,2008-06-13,TMAX,400
USC00023027,2005-10-24,TMIN,133
USC00021314,2005-05-28,TMAX,383
USC00027370,2011-10-16,TMIN,172
USC00027370,2011-10-16,TMAX,372
USC00023027,2006-12-29,TMAX,122
USW00053156,2013-01-03,TMAX,159
USC00024829,2007-06-14,TMAX,450
USC00025270,2012-05-10,TMIN,122
USC00024977,2006-09-18,TMAX,328
USC00025270,2009-09-18,TMIN,206
USC00029634,2015-06-05,TMAX,317
USC00024829,2005-10-29,TMIN,133
USC00024829,2011-08-16,TMIN,283
USC00028112,2006-09-08,TMIN,211
USC00027187,2014-09-21,TMIN,211
USC00024977,2012-10-11,TMAX,317
USC00024977,2005-04-23,TMIN,133
USC00021306,2005-09-06,TMIN,272
USW00053156,2012-03-09,TMIN,85
USC00029634,2011-01-18,TMAX,228
USC00028499,2013-01-03,TMIN,33
USW00023183,2012-12-10,TMAX,183
USC00024977,2007-11-27,TMAX,211
USW00053156,2012-03-09,TMAX,219
USW00023183,2008-10-07,TMAX,350
USC00023027,2009-01-19,TMIN,144
USC00021314,2008-12-01,TMAX,217
USC00021306,2009-02-28,TMIN,67
USW00023183,2015-03-01,TMAX,250
USC00029634,2005-06-03,TMIN,194
USC00029634,2011-01-18,TMIN,67
USC00021314,2005-11-02,TMIN,111
USC00028499,2012-08-09,TMIN,272
USC00029634,2005-06-03,TMAX,350
USC00024977,2013-09-28,TMIN,144
USW00023183,2012-12-10,TMIN,72
USC00021314,2006-12-13,TMIN,-11
USC00021314,2012-09-17,TMIN,183
USW00023183,2011-09-07,TMAX,422
USC00029634,2014-04-09,TMIN,150
USC00024829,2011-09-17,TMIN,244
USC00021306,2007-01-28,TMAX,228
USC00021306,2007-01-28,TMIN,11
USW00053162,2013-10-29,TMIN,95
USW00053162,2011-10-04,TMIN,173
USC00025270,2009-02-13,TMAX,178
USC00024977,2012-09-24,TMAX,367
USC00029634,2014-04-09,TMAX,350
USC00024977,2011-06-25,TMIN,256
USW00053162,2011-10-04,TMAX,337
USC00024829,2013-01-10,TMIN,67
USC00024829,2007-05-17,TMIN,222
USC00024829,2007-05-17,TMAX,400
USC00024829,2009-11-05,TMAX,328
USC00029634,2014-05-15,TMIN,189
USC00025270,2009-02-13,TMIN,-17
USC00024977,2011-06-25,TMAX,428
USC00021314,2013-11-27,TMIN,111
USC00029634,2007-02-10,TMIN,106
USC00024977,2015-10-11,TMAX,356
USC00028499,2011-05-20,TMAX,300
USC00025270,2009-09-06,TMIN,217
USC00028499,2011-05-20,TMIN,106
USC00029634,2014-05-15,TMAX,367
USW00023183,2011-04-14,TMIN,139
USC00024829,2009-11-05,TMIN,161
USC00021314,2006-01-13,TMAX,228
USW00023183,2010-12-14,TMAX,256
USC00029634,2008-05-31,TMAX,367
USC00029634,2007-12-09,TMIN,56
USC00027187,2015-12-30,TMAX,150
USC00021314,2006-01-13,TMIN,-11
USW00023183,2011-04-14,TMAX,272
USC00029634,2007-06-27,TMIN,267
USC00021306,2008-04-19,TMIN,117
USC00028499,2014-04-18,TMAX,311
USC00027187,2015-12-30,TMIN,-33
USC00027370,2012-02-26,TMIN,67
USW00053156,2010-05-14,TMAX,315
USC00024829,2006-08-20,TMIN,306
USW00053162,2014-04-09,TMIN,73
USC00025270,2011-05-28,TMAX,400
USC00027187,2013-09-18,TMAX,394
USC00025270,2010-06-11,TMIN,217
USC00027370,2011-07-07,TMAX,394
USC00024829,2009-01-23,TMAX,217
USC00024829,2010-01-24,TMAX,139
USC00028499,2014-04-18,TMIN,133
USC00021314,2013-11-27,TMAX,200
USC00027370,2011-07-07,TMIN,283
USC00021306,2008-04-19,TMAX,339
USC00028499,2007-03-09,TMIN,89
USC00029634,2010-05-12,TMIN,117
USC00024829,2013-01-10,TMAX,139
USW00053162,2013-10-29,TMAX,247
USC00023027,2007-05-19,TMAX,367
USC00027187,2012-07-17,TMAX,389
USC00029634,2008-05-31,TMIN,183
USW00023183,2009-02-21,TMAX,244
USC00027370,2005-03-14,TMIN,61
USW00053156,2010-05-14,TMIN,136
USC00024829,2009-01-23,TMIN,133
USC00023027,2007-05-19,TMIN,217
USC00027370,2012-02-26,TMAX,250
USW00023183,2014-08-13,TMIN,228
USW00023183,2014-08-13,TMAX,350
USC00023027,2007-11-15,TMIN,122
USC00024829,2006-09-01,TMAX,444
USC00028499,2007-03-09,TMAX,311
USW00053162,2013-07-24,TMIN,266
USC00025270,2009-09-06,TMAX,378
USC00028112,2007-01-15,TMIN,-56
USC00025270,2005-01-12,TMIN,50
USC00021306,2006-02-02,TMIN,17
USC00028112,2007-01-15,TMAX,122
USC00027187,2013-10-08,TMIN,156
USW00023183,2014-09-27,TMAX,350
USC00029634,2010-02-09,TMIN,50
USW00023183,2014-09-27,TMIN,206
USC00028499,2008-04-17,TMIN,117
USC00024829,2015-09-30,TMIN,228
USC00028499,2011-01-31,TMIN,50
USC00021314,2009-05-29,TMAX,383
USC00028499,2011-01-31,TMAX,156
USW00023183,2007-08-04,TMAX,400
USC00024977,2015-11-12,TMAX,233
USC00024977,2013-08-24,TMAX,389
USC00027187,2013-09-18,TMIN,233
USC00027370,2005-03-28,TMIN,33
USC00024829,2010-05-07,TMIN,172
USC00024829,2012-04-22,TMIN,194
USC00024977,2012-09-24,TMIN,228
USC00021314,2009-01-01,TMIN,17
USC00021306,2006-02-02,TMAX,250
USC00029634,2013-03-21,TMAX,289
USW00053156,2010-12-17,TMAX,152
USC00027187,2013-04-24,TMAX,333
USC00024977,2010-02-03,TMAX,217
USC00025270,2005-01-12,TMAX,161
USC00028499,2008-04-17,TMAX,267
USC00027187,2013-04-24,TMIN,144
USC00029634,2015-05-14,TMIN,206
USC00029634,2010-02-09,TMAX,178
USW00023183,2007-08-04,TMIN,306
USC00023027,2006-01-10,TMIN,28
USC00024977,2013-08-24,TMIN,228
USC00021314,2009-05-29,TMIN,206
USW00023183,2008-03-01,TMAX,272
USC00024829,2009-03-16,TMAX,272
USC00024977,2011-08-24,TMAX,456
USC00029634,2007-02-10,TMAX,250
USC00024829,2009-04-27,TMAX,300
USC00021314,2006-03-11,TMAX,183
USW00023183,2010-06-23,TMAX,428
USC00021314,2006-03-11,TMIN,61
USC00024829,2009-04-27,TMIN,117
USC00027370,2005-03-28,TMAX,261
USC00021314,2006-04-03,TMIN,122
USW00053162,2013-07-24,TMAX,384
USC00024977,2015-10-11,TMIN,211
USC00024829,2011-09-17,TMAX,361
USC00023027,2006-01-10,TMAX,228
USC00027370,2006-12-07,TMAX,250
USW00053162,2010-07-09,TMAX,420
USC00024829,2005-10-29,TMAX,289
USW00023183,2007-10-06,TMIN,172
USC00029634,2007-12-09,TMAX,133
USC00027370,2006-12-20,TMIN,61
USW00023183,2007-06-05,TMAX,422
USC00024977,2011-08-24,TMIN,289
USC00021314,2009-01-01,TMAX,228
USW00053162,2010-07-09,TMIN,314
USW00023183,2007-06-05,TMIN,267
USW00053156,2012-02-22,TMIN,28
USW00023183,2007-11-27,TMAX,233
USW00053156,2012-02-22,TMAX,234
USW00023183,2010-06-23,TMIN,244
USC00027370,2010-09-01,TMAX,372
USC00021314,2006-04-03,TMAX,278
USC00027370,2006-12-20,TMAX,78
USC00024977,2010-02-03,TMIN,106
USC00024829,2006-08-20,TMAX,444
USC00024977,2012-02-22,TMAX,239
USW00023183,2011-07-06,TMAX,394
USC00029634,2009-06-12,TMIN,200
USC00028499,2006-05-24,TMIN,156
USW00023183,2006-03-24,TMIN,139
USW00023183,2011-07-06,TMIN,261
USC00027187,2015-12-22,TMAX,172
USC00025270,2006-01-06,TMAX,272
USC00029634,2009-06-12,TMAX,350
USC00027187,2014-07-14,TMAX,372
USC00029634,2009-03-19,TMAX,317
USC00021314,2012-09-17,TMAX,361
USC00021314,2007-10-10,TMIN,144
USW00023183,2007-05-02,TMIN,211
USC00024977,2009-04-24,TMAX,333
USW00023183,2014-03-08,TMIN,122
USC00024977,2012-04-04,TMIN,106
USW00023183,2014-01-24,TMAX,211
USC00028499,2007-01-07,TMAX,206
USC00021314,2008-10-04,TMAX,344
USC00024977,2009-04-24,TMIN,172
USC00024829,2006-07-15,TMAX,461
USC00027370,2011-10-31,TMIN,128
USC00027370,2011-10-31,TMAX,306
USC00028499,2008-10-07,TMIN,144
USW00023183,2014-03-08,TMAX,267
USC00028499,2008-08-09,TMAX,383
USC00021306,2008-08-11,TMIN,267
USC00021306,2007-01-29,TMAX,239
USC00024829,2011-05-06,TMIN,183
USC00024829,2011-05-06,TMAX,389
USC00021306,2006-03-26,TMAX,294
USC00028499,2007-01-07,TMIN,-17
USC00027187,2011-04-07,TMIN,144
USC00021314,2007-10-10,TMAX,356
USC00024829,2010-04-24,TMAX,283
USC00024829,2005-01-31,TMAX,183
USC00024829,2014-08-09,TMAX,400
USC00027187,2014-01-27,TMIN,94
USW00023183,2012-02-19,TMAX,200
USC00027187,2011-07-03,TMIN,272
USC00028499,2010-03-23,TMIN,122
USW00023183,2005-03-08,TMAX,244
USW00023183,2013-07-27,TMAX,406
USW00023183,2007-01-25,TMIN,56
USC00029634,2010-02-18,TMIN,83
USW00023183,2005-02-07,TMIN,117
USC00029634,2010-02-18,TMAX,250
USW00023183,2006-03-24,TMAX,272
USC00028499,2010-03-23,TMAX,200
USC00024977,2011-06-03,TMIN,161
USC00024977,2015-08-11,TMIN,250
USC00029634,2009-10-18,TMIN,211
USC00024977,2015-08-11,TMAX,367
USC00028499,2009-06-08,TMIN,172
USC00029634,2009-04-07,TMAX,328
USW00023183,2007-01-25,TMAX,222
USC00024829,2010-04-24,TMIN,106
USC00024977,2012-04-04,TMAX,272
USC00029634,2011-01-14,TMIN,56
USC00027187,2011-07-03,TMAX,456
USW00023183,2013-07-27,TMIN,289
USC00024829,2005-04-04,TMIN,100
USC00024829,2005-04-04,TMAX,267
USC00029634,2009-04-07,TMIN,128
USC00029634,2009-10-18,TMAX,378
USW00023183,2005-03-08,TMIN,117
USC00024829,2014-02-20,TMIN,100
USC00025270,2010-06-11,TMAX,394
USC00024829,2014-02-20,TMAX,256
USC00027187,2012-07-17,TMIN,244
USC00021306,2008-08-11,TMAX,428
USW00023183,2007-05-02,TMAX,344
